crash_numb,city_town_name,crash_date,crash_severity_descr,crash_status,crash_time_2,max_injr_svrty_cl,numb_vehc,numb_fatal_injr,numb_nonfatal_injr,weath_cond_descr,speed_limit,lat,lon,dist_dirc_exit,vehc_unit_numb,driver_age,max_injr_svrty_vl,total_occpt_in_vehc,pers_numb,age,injy_stat_descr
"4506613","BOSTON","01/01/2018","Not Reported","Closed","8:00 AM","Not reported","3","0","0","Clear","","42.27908145","-71.12947975","","1","","Not reported","","1","","Not reported"
"4506613","BOSTON","01/01/2018","Not Reported","Closed","8:00 AM","Not reported","3","0","0","Clear","","42.27908145","-71.12947975","","2","","Not reported","","2","","Not reported"
"4506613","BOSTON","01/01/2018","Not Reported","Closed","8:00 AM","Not reported","3","0","0","Clear","","42.27908145","-71.12947975","","3","","Not reported","","3","","Not reported"
"4507328","BOSTON","02/12/2018","Non-fatal injury","Closed","11:31 AM","Non-fatal injury - Possible","1","0","1","Clear/Cloudy","25","42.36122454","-71.06612497","","1","23","No injury","1","1","23","No injury"
"4507328","BOSTON","02/12/2018","Non-fatal injury","Closed","11:31 AM","Non-fatal injury - Possible","1","0","1","Clear/Cloudy","25","42.36122454","-71.06612497","","","","","","2","59","Non-fatal injury - Possible"
"4507348","BOSTON","01/02/2018","Non-fatal injury","Closed","10:11 AM","Non-fatal injury - Possible","2","0","1","Clear","","42.35152247","-71.16672605","","1","45","Non-fatal injury - Possible","","1","45","Non-fatal injury - Possible"
"4507348","BOSTON","01/02/2018","Non-fatal injury","Closed","10:11 AM","Non-fatal injury - Possible","2","0","1","Clear","","42.35152247","-71.16672605","","2","20","Not reported","","2","20","Not reported"
"4507350","BOSTON","01/03/2018","Unknown","Closed","8:00 AM","Not reported","2","0","0","Cloudy/Clear","","42.35552965","-71.13278691","","1","23","Not reported","1","1","23","Not reported"
"4507350","BOSTON","01/03/2018","Unknown","Closed","8:00 AM","Not reported","2","0","0","Cloudy/Clear","","42.35552965","-71.13278691","","2","83","Not reported","","2","83","Not reported"
"4507350","BOSTON","01/03/2018","Unknown","Closed","8:00 AM","Not reported","2","0","0","Cloudy/Clear","","42.35552965","-71.13278691","","2","83","Not reported","","3","","Unknown"
"4507353","BOSTON","01/03/2018","Property damage only (none injured)","Closed","8:30 PM","No injury","2","0","0","Clear","25","42.35034539","-71.14786197","","1","22","No injury","1","1","22","No injury"
"4507353","BOSTON","01/03/2018","Property damage only (none injured)","Closed","8:30 PM","No injury","2","0","0","Clear","25","42.35034539","-71.14786197","","2","28","No injury","1","2","28","No injury"
"4507366","BOSTON","01/01/2018","Property damage only (none injured)","Closed","1:30 AM","No injury","2","0","0","Clear/Clear","","42.34263025","-71.15383191","","1","30","No injury","1","1","30","No injury"
"4507366","BOSTON","01/01/2018","Property damage only (none injured)","Closed","1:30 AM","No injury","2","0","0","Clear/Clear","","42.34263025","-71.15383191","","2","","Not reported","","2","","Not reported"
"4507375","BOSTON","01/02/2018","Property damage only (none injured)","Closed","9:02 AM","No injury","1","0","0","Clear","25","42.32086852","-71.05411304","","1","26","No injury","","1","26","No injury"
"4507831","BOSTON","01/06/2018","Not Reported","Closed","10:00 AM","Not reported","2","0","0","Not Reported","","42.28750861","-71.15111582","","1","32","Not reported","1","1","32","Not reported"
"4507831","BOSTON","01/06/2018","Not Reported","Closed","10:00 AM","Not reported","2","0","0","Not Reported","","42.28750861","-71.15111582","","1","32","Not reported","1","2","","Not reported"
"4507831","BOSTON","01/06/2018","Not Reported","Closed","10:00 AM","Not reported","2","0","0","Not Reported","","42.28750861","-71.15111582","","2","49","Not reported","1","3","49","Not reported"
"4507856","BOSTON","01/08/2018","Not Reported","Closed","1:04 PM","Not reported","2","0","0","Cloudy","","42.27517937","-71.14065251","","1","24","Not reported","","1","24","Not reported"
"4507856","BOSTON","01/08/2018","Not Reported","Closed","1:04 PM","Not reported","2","0","0","Cloudy","","42.27517937","-71.14065251","","2","52","Not reported","1","2","52","Not reported"
"4507858","BOSTON","01/09/2018","Not Reported","Closed","6:45 PM","Not reported","2","0","0","Not Reported","","42.27635009","-71.13929077","","1","52","Not reported","","1","52","Not reported"
"4507858","BOSTON","01/09/2018","Not Reported","Closed","6:45 PM","Not reported","2","0","0","Not Reported","","42.27635009","-71.13929077","","2","","Not reported","","2","","Not reported"
"4507859","BOSTON","01/10/2018","Property damage only (none injured)","Closed","11:05 AM","No injury","2","0","0","Clear","40","42.26286609","-71.15535606","","1","94","No injury","1","1","94","No injury"
"4507859","BOSTON","01/10/2018","Property damage only (none injured)","Closed","11:05 AM","No injury","2","0","0","Clear","40","42.26286609","-71.15535606","","2","42","No injury","1","2","42","No injury"
"4507869","BOSTON","01/04/2018","Property damage only (none injured)","Closed","10:59 AM","No injury","3","0","0","Snow/Sleet, hail (freezing rain or drizzle)","25","42.30594323","-71.05760339","","1","54","No injury","","1","54","No injury"
"4507869","BOSTON","01/04/2018","Property damage only (none injured)","Closed","10:59 AM","No injury","3","0","0","Snow/Sleet, hail (freezing rain or drizzle)","25","42.30594323","-71.05760339","","2","59","No injury","","2","59","No injury"
"4507869","BOSTON","01/04/2018","Property damage only (none injured)","Closed","10:59 AM","No injury","3","0","0","Snow/Sleet, hail (freezing rain or drizzle)","25","42.30594323","-71.05760339","","3","23","No injury","","3","23","No injury"
"4507914","BOSTON","01/06/2018","Non-fatal injury","Closed","8:24 AM","Non-fatal injury - Possible","1","0","1","Clear","25","42.33686306","-71.08484420","","1","39","Non-fatal injury - Possible","1","1","39","Non-fatal injury - Possible"
"4507915","BOSTON","01/09/2018","Property damage only (none injured)","Closed","4:30 PM","No injury","2","0","0","Clear/Blowing sand, snow","","42.27135350","-71.10463114","","1","46","No injury","1","1","46","No injury"
"4507915","BOSTON","01/09/2018","Property damage only (none injured)","Closed","4:30 PM","No injury","2","0","0","Clear/Blowing sand, snow","","42.27135350","-71.10463114","","2","27","No injury","1","2","27","No injury"
"4507929","BOSTON","01/15/2018","Property damage only (none injured)","Closed","5:00 PM","No injury","2","0","0","Clear/Clear","","42.33454987","-71.04497605","","1","59","No injury","1","1","59","No injury"
"4507929","BOSTON","01/15/2018","Property damage only (none injured)","Closed","5:00 PM","No injury","2","0","0","Clear/Clear","","42.33454987","-71.04497605","","2","64","No injury","1","2","64","No injury"
"4507932","BOSTON","01/03/2018","Not Reported","Closed","1:15 PM","Not Applicable","2","0","0","Clear","","42.33189970","-71.06908889","","1","","Not reported","0","1","","Not reported"
"4507932","BOSTON","01/03/2018","Not Reported","Closed","1:15 PM","Not Applicable","2","0","0","Clear","","42.33189970","-71.06908889","","2","69","Not reported","2","2","69","Not reported"
"4507932","BOSTON","01/03/2018","Not Reported","Closed","1:15 PM","Not Applicable","2","0","0","Clear","","42.33189970","-71.06908889","","2","69","Not reported","2","3","","Not reported"
"4507934","BOSTON","01/01/2018","Property damage only (none injured)","Closed","1:57 AM","No injury","1","0","0","Clear","","42.33436904","-71.03535666","","1","55","No injury","1","1","55","No injury"
"4507934","BOSTON","01/01/2018","Property damage only (none injured)","Closed","1:57 AM","No injury","1","0","0","Clear","","42.33436904","-71.03535666","","","","","","2","22","Unknown"
"4507962","BOSTON","01/07/2018","Non-fatal injury","Closed","2:45 PM","Non-fatal injury - Non-incapacitating","1","0","1","Clear/Rain","","42.28513387","-71.15646081","","1","83","No injury","1","1","83","No injury"
"4507962","BOSTON","01/07/2018","Non-fatal injury","Closed","2:45 PM","Non-fatal injury - Non-incapacitating","1","0","1","Clear/Rain","","42.28513387","-71.15646081","","","","","","2","65","Non-fatal injury - Non-incapacitating"
"4507979","BOSTON","01/05/2018","Property damage only (none injured)","Closed","11:00 AM","No injury","2","0","0","Clear","","42.30952660","-71.07308319","","1","31","No injury","1","1","31","No injury"
"4507979","BOSTON","01/05/2018","Property damage only (none injured)","Closed","11:00 AM","No injury","2","0","0","Clear","","42.30952660","-71.07308319","","2","43","No injury","1","2","43","No injury"
"4507984","BOSTON","01/22/2018","Not Reported","Closed","6:53 AM","Not reported","2","0","0","Rain","","42.30994713","-71.09207813","","1","66","Not reported","10","1","66","Not reported"
"4507984","BOSTON","01/22/2018","Not Reported","Closed","6:53 AM","Not reported","2","0","0","Rain","","42.30994713","-71.09207813","","2","38","Not reported","11","2","38","Not reported"
"4508697","BOSTON","02/11/2018","Not Reported","Closed","11:26 AM","Not Applicable","2","0","0","Cloudy/Rain","25","42.33325621","-71.10788231","","1","29","Not reported","3","1","29","Not reported"
"4508697","BOSTON","02/11/2018","Not Reported","Closed","11:26 AM","Not Applicable","2","0","0","Cloudy/Rain","25","42.33325621","-71.10788231","","1","29","Not reported","3","2","","Not reported"
"4508697","BOSTON","02/11/2018","Not Reported","Closed","11:26 AM","Not Applicable","2","0","0","Cloudy/Rain","25","42.33325621","-71.10788231","","1","29","Not reported","3","3","","Not reported"
"4508697","BOSTON","02/11/2018","Not Reported","Closed","11:26 AM","Not Applicable","2","0","0","Cloudy/Rain","25","42.33325621","-71.10788231","","2","64","Not reported","1","4","64","Not reported"
"4508759","BOSTON","02/08/2018","Non-fatal injury","Closed","12:50 PM","Non-fatal injury - Possible","2","0","5","Clear","","42.32385353","-71.08912191","","1","52","Non-fatal injury - Possible","3","1","52","Non-fatal injury - Possible"
"4508759","BOSTON","02/08/2018","Non-fatal injury","Closed","12:50 PM","Non-fatal injury - Possible","2","0","5","Clear","","42.32385353","-71.08912191","","1","52","Non-fatal injury - Possible","3","2","51","Non-fatal injury - Possible"
"4508759","BOSTON","02/08/2018","Non-fatal injury","Closed","12:50 PM","Non-fatal injury - Possible","2","0","5","Clear","","42.32385353","-71.08912191","","1","52","Non-fatal injury - Possible","3","3","50","Non-fatal injury - Possible"
"4508759","BOSTON","02/08/2018","Non-fatal injury","Closed","12:50 PM","Non-fatal injury - Possible","2","0","5","Clear","","42.32385353","-71.08912191","","2","25","Non-fatal injury - Possible","2","4","25","Non-fatal injury - Possible"
"4508759","BOSTON","02/08/2018","Non-fatal injury","Closed","12:50 PM","Non-fatal injury - Possible","2","0","5","Clear","","42.32385353","-71.08912191","","2","25","Non-fatal injury - Possible","2","5","26","Non-fatal injury - Possible"
"4508773","BOSTON","02/05/2018","Non-fatal injury","Closed","5:09 PM","Non-fatal injury - Possible","1","0","1","Rain/Rain","","42.33368516","-71.10335530","","1","45","Not reported","1","1","45","Not reported"
"4508773","BOSTON","02/05/2018","Non-fatal injury","Closed","5:09 PM","Non-fatal injury - Possible","1","0","1","Rain/Rain","","42.33368516","-71.10335530","","","","","","2","56","Non-fatal injury - Possible"
"4508774","BOSTON","02/07/2018","Unknown","Closed","3:55 AM","Not reported","4","0","0","Clear","25","42.32975154","-71.09068958","","1","25","Unknown","1","1","25","Unknown"
"4508774","BOSTON","02/07/2018","Unknown","Closed","3:55 AM","Not reported","4","0","0","Clear","25","42.32975154","-71.09068958","","2","","Not reported","0","2","","Not reported"
"4508774","BOSTON","02/07/2018","Unknown","Closed","3:55 AM","Not reported","4","0","0","Clear","25","42.32975154","-71.09068958","","3","","Not reported","0","3","","Not reported"
"4508774","BOSTON","02/07/2018","Unknown","Closed","3:55 AM","Not reported","4","0","0","Clear","25","42.32975154","-71.09068958","","4","","Not reported","0","4","","Not reported"
